Catégories,Sous-catégories,Produits ,Alternatives,Descriptions ,Où trouver,Liens,Lien de l'image,Filtre
Entretien et ménage,Soin du linge,Lessive liquide,Lessive biodégradable d'origine végétale et minérale,"Cette lessive se compose de seulement 3 ingrédients : Savon de Marseille, Bicarbonate de sodium et Carbonate de sodium
En plus de ces produits simples, efficaces et d'origine 100% naturelle, elle est contenue dans une bouteille en verre réutilisable à l'infini !
Tu peux la recharger et ainsi la conserver longtemps.","Tu peux trouver incroyable cette lessive sur le site internet de l'alchimiste. Si tu le souhaites, tu peux également recevoir les produits directement dans ta boite aux lettres.
Pas besoin de bouger, le lien est juste ici !",https://www.lalchimiste.paris/products/lessive-liquide,https://cdn.shopify.com/s/files/1/0067/0302/2144/products/IMG_9794_websize-2.jpg?v=1610623636,En ligne
Entretien et ménage,Soin du linge,Lessive liquide,Lessive fait maison,"Pourquoi ne pas essayer de faire sa lessive soi-même ? Ce n'est pas si compliqué, pas besoin de jouer les chimistes, et en plus c'est bien 
plus sain pour la planète !",Nous te donnons le lien d'une recette juste ici. C'est à toi de jouer maintenant !,https://nawai-li.com/fr/actus/lessive-maison/,https://static.bhv.fr/media-cms/sites/apibhv/files/content/2018-08/principal-928x770.png,DIY
Entretien et ménage,Soin du linge,Lessive en poudre,"Lessive bio écoresponsable, neutre en carbone avec emballages réutilisable","Cette super lessive se compose de seulement 3 ingrédients : du savon de Marseille, du bicarbonate de sodium et du carbonate de sodium.
En plus de ces produits simples, efficaces et d'origine 100 % naturelle, elle est contenue dans une bouteille en verre réutilisable à l'infini !
Tu peux aller la recharger et ainsi la conserver longtemps.","Tu peux trouver cette lessive sur le site internet de l'alchimiste. Si tu le veux, les produits arrivent directement dans ta boite aux lettres !
Tu as juste besoin de bouger ta souris, le lien est juste ici !",https://www.lalchimiste.paris/products/lessive-poudre,https://cdn.shopify.com/s/files/1/0067/0302/2144/products/IMG_9668_websize.jpg?v=1610701769,En ligne
Entretien et ménage,Soin du linge,Lessive en poudre,lessive poudre fait maison,"Si tu te sens motivé•e (ou que tu as un beau dimanche à occuper), tu peux suivre cette recette de lessive en poudre faite maison ! 
En plus de nous donner une recette écologique et efficace, Hélène donne plein d'autres conseils divers sur quel type de lessive utiliser et comment.
Une vraie mine d'or !","Il ne te manque plus qu'à trouver les ingrédients dans ta Biocoop ou au supermarché le plus près de chez toi ! La recette est quant à elle à portée de clic juste ici !
Et si tu souhaites la garder au chaud avec toi, elle est aussi imprimable.",https://green-me-up.com/2017/10/lessive-poudre.html,https://www.madamebourdonne.com/wp-content/uploads/2019/05/lessive-maison.jpg,DIY
Entretien et ménage,Soin du linge,Adoucissant,Adoucissant fait maison,"Si tu te sens motivé•e (ou que tu as une journée ensoleillée à occuper), tu peux réaliser cette recette d'adoucissant fait maison ! 
Le tutoriel YouTube est expliqué en détails et la recette est, comme le dit son auteur, 100 % naturelle, peu coûteuse, très simple à fabriquer, ultra pratique à utiliser et efficace !","Il ne te manque plus qu'à trouver les ingrédients dans ta biocoop ou au supermarché au coin de ta rue ! La recette est quant à elle à portée de clic juste ici, en vidéo, sur youtube!",https://www.youtube.com/watch?v=qp9fI8OYzgA,https://cahierdegourmandises.fr/mywordpress/wp-content/uploads/medias_DC/Lessive_maison3.jpg,DIY
Entretien et ménage,Soin du linge,Adoucissant,Adoucissant à base d’ingrédients d’origine végétale et minérale,"Cet adoucissant conférera à tout ton linge une douceur naturelle. Il ne contient ni parfum ni colorant. En effet, il est composé uniquement d'ingrédients d’origine végétale et minérale rendant tes vêtements infiniment doux sans irriter ta peau sensible (oui, t'inquiètes, on fait attention à toi). De plus, elle est fabriquée dans une bouteille recyclée.","Tu peux trouver cet adoucissant sur le site internet d'Ecover comme sur d'autres. Il ne te reste plus qu'à le commander et c'est bon pour toi ! Même pas besoin de bouger, un lien est juste ici !
",https://www.ecover.com/fr/products/adoucissant-zero/,http://www.mesideesnaturelles.fr/wp-content/uploads/2017/08/DSC05262.jpg,En ligne
Entretien et ménage,Soin du linge,Blanchissant,Blanchissant fait maison ,"Pourquoi ne pas essayer de faire ton blanchissant de linge ? Ce n'est pas si compliqué, pas besoin de jouer les sorciers et en plus, c'est bien. 
Plus sain pour la planète ! Emmanuelle t'explique en 1 minute comment faire. Suit-la dans ses explications et tu obtiendras ton blanchissant ""made in toi"". Maintenant, c'est à toi de jouer ! ","Il ne te manque plus qu'à trouver les ingrédients dans ta Biocoop ou au supermarché au coin de ta rue ! La recette est quant à elle à portée de clic juste ici, en vidéo, sur YouTube !",https://www.youtube.com/watch?v=DNODyCmK0Yc,https://www.mieux-vivre-autrement.com/wp-content/uploads/2017/11/lessive-liquide-maison.jpg,DIY
Entretien et ménage,Soin du linge,Blanchissant,Blanchissant Biodégradable,"Ce blanchissant est très pratique. Il permet évidemment de blanchir son linge et protège aussi l'environnement !
Il convient très bien pour enlever les tâches sur le linge blanc. Le percarbonate de sodium se décompose en oxygène qui blanchit l’eau combinée avec l'action de la soude pendant le cycle de lavage. Le blanchiment signifie donc simultanément décomposition !",Tu peux trouver cette lessive sur le site internet d'étiketbio comme sur d'autres. Il ne te reste plus qu'à le commander et c'est parti !,https://www.etiketbio.eu/droguerie/10827-blanchissant-et-anti-taches-450g-4007547103931.html#,https://www.etiketbio.eu/3643-large_default/sonnett-blanchissant-et-anti-taches-450g.jpg,En ligne
Entretien et ménage,Soin du linge,Détachant,"Détachant hypoallergénique, biodégradable","Ce détachant liquide est fabriqué à partir de tensioactifs d’origine végétale. Il élimine les tâches les plus difficiles de tes beaux vêtements : huile, maquillage, chocolat, œuf, sang, fruit, herbe, transpiration. Son application avant lavage est très facile avec son pulvérisateur ciblé.",Tu peux acheter ce détachant aux nombreuses qualités en quelques clics sur Bio Blank Home !,https://www.bioblank-home.shop/fr/Catalogue/13-linge/11-0/77-detachant,https://www.bioblank-home.shop/Module/Catalogue/ImgProd.php5?ID=77&Big=1,En ligne
Entretien et ménage,Soin du linge,Détachant,Détachant fait maison ,"Pourquoi ne pas essayer de faire ton propre détachant ? Ce n'est pas si compliqué, pas besoin d'aller à Poudlard et en plus, c'est bien. 
Plus sain pour la planète ! Rien de mieux qu’un détachant fait maison à partir de bicarbonate de soude et de vinaigre blanc, qui, on te l’assure, sera tout aussi efficace que ses confrères moins naturels !","La chaîne YouTube ""beauté chérie"" t'explique en 1 minute comment faire. Suis les explications et tu obtiendras ton blanchissant ""made in toi"". Maintenant, c'est à toi de jouer ! ",https://www.youtube.com/watch?v=MoBUIirB6LE,https://galipoli.fr/149-large_default/faire-son-detachant-maison.jpg,DIY
