Catégories,Sous-catégories,Produits ,Alternatives,Descriptions,Où trouver,Liens
Extérieur,Jardinage,Achat de graines,Germoir ,"Ce matériel va te permettre de faire pousser tes propres graines jusqu’à atteindre le stade de “germination”. Une fois ce stade atteint, tu va pouvoir consommer tes graines ! Tu n'as plus qu'à choisir ta recette préférée ! ",Tu peux trouver des germoires par ici ou chez ton magasins de jardinage habituel !,https://www.greenweez.com/germ-line-germoir-en-verre-pour-graines-a-germer-p14715?utm_source=bing&utm_medium=cpc&utm_campaign=FR%20-%20SHP%20-%20All%20Products__350565816&utm_term=default__pla-4583314226148429&msclkid=f83bc44f62c91e877aa79ac354d5f2db&utm_content=All%20Products
Extérieur,Jardinage,Engrais,Engrais biologique," Un engrais biologique issus de matière vivante, animale, ou végétale te permet de nourrire tes plantes sans appauvrir le sol !",Tu peux acheter ton engrais biologique directement dans ton magasin de Jardinage habituel ou sur Greenweez par ici !,https://www.greenweez.com/engrais-traitement-du-jardin-c356
Extérieur,Jardinage,Engrais,Engrais organique,"Les engrais organiques tels que le marc de café, l'eau de cuisson des légumes ou encore les coquilles d'oeuf sont de parfaits nutriments pour tes plantes ou ton jardin.",Ce lien te répertorie toutes les techniques pour avoir un jardin tout bio.,https://www.consoglobe.com/engrais-naturels-jardin-bio-3906-cg
Extérieur,Jardinage,Déchets organiques,Composte,"Le composte permet de reproduire le cycle naturel de la décomposition de matière organique et de nourrir certains êtres vivants. De plus, il évite l'accumulation de déchets organiques.","Si tu n'as pas de jardin, il est possible de composter avec le lombri-composteur (ou vermi-composteur). Une autre solution s'offre à toi, tu peux en acheter directement en magasin, par exemple, Jardiland,Truffaut ou Gamm vert. Greenweez propose aussi quelques composteurs.",https://www.greenweez.com/composteurs-et-poubelles-de-tri-c1882
Extérieur,Jardinage,Tondeuse,Tondeuse manuelle,"La tondeuse manuelle est une alternative à la tondeuse "" classique "". Elle ne pollue pas et ne consomme pas, elle est légère et émet très peu de bruit. Pour son utilisation, il faut marcher derrière la tondeuse, la source d'énergie est produite par l'homme. Une promenade dans le jardin et il est beaucoup plus beau, rien de plus simple !",Tu peux acheter ta tondeuse manuelle dans ton magasin de bricolage habituel. Nous te proposons celle de Leroy Merlin.,https://www.leroymerlin.fr/v3/p/produits/terrasse-jardin/tondeuse-tronconneuse-taille-haie/tondeuse-et-autoportee/tondeuse-manuelle-l1308220801
Extérieur,Jardinage,Abris animaux,Hotel à insecte ,"L'hôtel à insecte fournis un abris aux insectes et permet de lutter contre les parasites du jardin. De quoi avec de jolis visiteurs, tout en protègeant la faune de chez toi !","Nous te proposons une solutions pour fabriquer un joli hotel à insectes ! Comme tout bon DIY, tu peux même ne pas respecter le tutoriel ",https://jardinage.ooreka.fr/fiche/voir/261787/construire-un-hotel-a-insectes
Extérieur,Jardinage,Abris animaux,Hotel à insecte ,,,https://www.greenweez.com/hotels-a-insectes-c5491
Extérieur,Jardinage,Abris animaux,Nichoir à oiseau,"Le nichoir est un abris pour oiseaux construit par l'homme, il permet aux animaux de se reproduire car les milieux naturels ne sont pas assez suffisants.","Tu peux soit fabriquer ton nichoir à oiseau toi meme avec du bois non traité. Sinon, Il y en a en vente chez Nature et découverte ou Animalis.","https://nichoirs.net/page4.html
https://www.greenweez.com/nichoirs-et-mangeoires-c191"
Extérieur,Barbecue,Briquet jetable,Allumettes,Les allumettes sont faites en grande partie de bois. Elles sont donc 30 fois moins polluantes que des briquets faits à base de plusieurs matériaux différents ! ,Tu peux trouver des allumettes un peu partout. Le lien mène à des allumettes écologiques en bois FSC que tu peux commander sur internet.,https://sebio.fr/allumes-feu/21312-allumettes-ecologiques-en-bois-fsc-4-boites-de-100-allumettes.html
Extérieur,Barbecue,Briquet jetable,Zippo,"Un zippo est rechargeable et plus résistant qu'un briquet, il est donc plus écolo ! ","Tu peux trouver des Zippo un peu partout. Le site du lien permet, pour chaque briquet vendu, de planter un arbre, en partenariat avec le programme BUY ONE PLANT ONE® de WOODCHUCK USA.",https://www.zippo.fr/
Extérieur,Barbecue,Allume-feu,Allume-feu en matières végétales inflamables ,"Il existe une grande quantité de matière végétal inflamable, par exemple des pommes de pins, des brindilles et de l'amadou.","Tu peux aussi trouver des allume-feu en matières végétales sous fome liquide ou en cube dans différents magasins (grande surface, magasin de bricolage, internet...)",https://www.jardiland.com/catalogsearch/result/?q=allume+feu+naturel
Extérieur,Insectes,Anti-mites,Anti-mites écologique et biologique,Il existe des spray anti-mites faits à base de plantes naturelles. ,"Tu peux trouver ton spray naturel sur internet, sur le site Greenweez par exemple.",https://www.greenweez.com/anti-mites-c3329
Extérieur,Insectes,Anti-mites,Anti-mites fait maison,"Tu peux fabriquer ton propre répulsif à mites avec des morceaux de cèdre, de la lavande, des graines de girofle, du poivre noir,
de la menthe séchée, du romarin ou des morceaux de citron séchés.",Ce lien va t'aider à trouver tous les remèdes naturels contre les mites.,https://www.astuces-trucs.com/post/2009/09/11/Anti-mites
